PRACA;PERIODO;AGRUPAMENTO;PUBLICO;DAY_PARTS;DIA_DA_SEMANA;OPM;OS;ALC2;TMEDIND
GRANDE VITORIA;01/09/2025;FM SUPER FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2569.41;35.07;50229.20;73.40
GRANDE VITORIA;01/09/2025;FM SUPER FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1529.99;20.88;15115.30;145.45
GRANDE VITORIA;01/09/2025;FM SUPER FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;227.27;3.10;5121.91;63.54
GRANDE VITORIA;01/09/2025;FM SUPER FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1285.50;17.55;19104.75;96.54
GRANDE VITORIA;01/09/2025;FM SUPER FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1643.34;22.43;25034.07;94.32
GRANDE VITORIA;01/09/2025;FM SUPER FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1104.83;15.08;27194.53;58.30
GRANDE VITORIA;01/09/2025;FM SUPER FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3065.28;41.84;37601.31;117.23
GRANDE VITORIA;01/09/2025;FM SUPER FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1864.51;25.45;34362.67;78.08
GRANDE VITORIA;01/09/2025;FM SUPER FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;169.67;2.32;1200.39;203.32
GRANDE VITORIA;01/09/2025;FM SUPER FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3505.12;47.84;51436.03;98.08
GRANDE VITORIA;01/09/2025;FM SUPER FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1053.02;14.37;15002.54;101.04
GRANDE VITORIA;01/09/2025;FM SUPER FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;733.90;10.02;12054.94;87.40
GRANDE VITORIA;01/09/2025;GAZETA FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;6416.49;100.00;110961.88;83.16
GRANDE VITORIA;01/09/2025;GAZETA FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3905.18;60.86;73436.41;76.35
GRANDE VITORIA;01/09/2025;GAZETA FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2511.31;39.14;37525.47;96.22
GRANDE VITORIA;01/09/2025;GAZETA FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2526.34;39.37;54703.12;66.30
GRANDE VITORIA;01/09/2025;GAZETA FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2035.14;31.72;40134.57;73.01
GRANDE VITORIA;01/09/2025;GAZETA FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1855.01;28.91;16124.18;165.40
GRANDE VITORIA;01/09/2025;GAZETA FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;237.93;3.71;6311.53;54.17
GRANDE VITORIA;01/09/2025;GAZETA FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1653.87;25.78;33395.75;71.19
GRANDE VITORIA;01/09/2025;GAZETA FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;759.85;11.84;22887.17;47.48
GRANDE VITORIA;01/09/2025;GAZETA FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;941.68;14.68;21183.66;64.01
GRANDE VITORIA;01/09/2025;GAZETA FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2823.16;44.00;27183.78;149.33
GRANDE VITORIA;01/09/2025;GAZETA FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;483.66;7.54;16454.98;42.20
GRANDE VITORIA;01/09/2025;GAZETA FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;133.75;2.08;2517.76;76.30
GRANDE VITORIA;01/09/2025;GAZETA FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1999.48;31.16;41677.06;69.05
GRANDE VITORIA;01/09/2025;GAZETA FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2741.95;42.73;28779.15;137.12
GRANDE VITORIA;01/09/2025;GAZETA FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1057.66;16.48;21532.93;70.44
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;10224.25;100.00;195006.97;75.30
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4461.21;43.63;94108.50;68.16
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;5763.04;56.37;100898.47;82.15
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;6227.54;60.91;114240.29;78.30
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2971.43;29.06;70478.66;60.43
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1025.27;10.03;10288.01;143.30
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;344.35;3.37;12877.31;38.30
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2603.87;25.47;49415.88;75.53
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2837.61;27.75;58768.76;69.32
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3101.84;30.34;48191.19;92.41
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1336.57;13.07;25753.82;74.44
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1577.22;15.43;31471.40;72.10
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1913.63;18.72;14083.06;195.40
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2203.17;21.55;45042.25;70.26
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2315.79;22.65;49669.90;67.08
GRANDE VITORIA;01/09/2025;JOVEM PAN FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2214.44;21.66;54740.36;58.15
GRANDE VITORIA;01/09/2025;LITORAL FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;18138.11;100.00;330261.05;79.05
GRANDE VITORIA;01/09/2025;LITORAL FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;10719.16;59.10;191620.18;80.33
GRANDE VITORIA;01/09/2025;LITORAL FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;7418.95;40.90;138640.87;77.03
GRANDE VITORIA;01/09/2025;LITORAL FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;7949.07;43.83;165509.13;69.10
GRANDE VITORIA;01/09/2025;LITORAL FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;8104.04;44.68;139090.56;83.54
GRANDE VITORIA;01/09/2025;LITORAL FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2085.01;11.50;25661.37;117.00
GRANDE VITORIA;01/09/2025;LITORAL FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1190.22;6.56;27388.04;62.35
GRANDE VITORIA;01/09/2025;LITORAL FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4597.60;25.35;83873.75;78.56
GRANDE VITORIA;01/09/2025;LITORAL FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4097.38;22.59;85023.81;69.24
GRANDE VITORIA;01/09/2025;LITORAL FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3424.35;18.88;62938.41;78.21
GRANDE VITORIA;01/09/2025;LITORAL FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4828.55;26.62;71037.04;97.53
GRANDE VITORIA;01/09/2025;LITORAL FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;6216.40;34.27;87609.61;102.11
GRANDE VITORIA;01/09/2025;LITORAL FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;367.51;2.03;10204.48;51.52
GRANDE VITORIA;01/09/2025;LITORAL FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3771.31;20.79;77118.62;70.25
GRANDE VITORIA;01/09/2025;LITORAL FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3818.30;21.05;76408.01;71.58
GRANDE VITORIA;01/09/2025;LITORAL FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3964.59;21.86;78920.34;72.20
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2700.28;100.00;61533.49;63.11
GRANDE VITORIA;01/09/2025;MASSA FM 91.9 FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1421.97;52.66;29976.93;68.18
