PRACA;PERIODO;AGRUPAMENTO;PUBLICO;DAY_PARTS;DIA_DA_SEMANA;OPM;OS;ALC2;TMEDIND
GRANDE VITORIA;01/03/2024;RADIO ANTENA 1 FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;44.35;0.68;1967.43;32.28
GRANDE VITORIA;01/03/2024;RADIO ANTENA 1 FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1199.66;18.39;17649.24;97.53
GRANDE VITORIA;01/03/2024;RADIO ANTENA 1 FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;780.90;11.97;21452.44;52.25
GRANDE VITORIA;01/03/2024;RADIO ANTENA 1 FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1632.76;25.03;34132.10;68.53
GRANDE VITORIA;01/03/2024;RADIO ANTENA 1 FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2865.84;43.93;35071.13;117.40
GRANDE VITORIA;01/03/2024;RADIO ANTENA 1 FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1262.91;19.36;16649.84;109.14
GRANDE VITORIA;01/03/2024;RADIO ANTENA 1 FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;22.37;0.34;1320.96;24.23
GRANDE VITORIA;01/03/2024;RADIO ANTENA 1 FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1338.01;20.51;21368.58;90.10
GRANDE VITORIA;01/03/2024;RADIO ANTENA 1 FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1694.79;25.98;32527.91;75.02
GRANDE VITORIA;01/03/2024;RADIO ANTENA 1 FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2205.41;33.81;38405.05;82.42
GRANDE VITORIA;01/03/2024;RADIO CBN FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2768.67;100.00;60474.85;65.56
GRANDE VITORIA;01/03/2024;RADIO CBN FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1358.68;49.07;31877.23;61.23
GRANDE VITORIA;01/03/2024;RADIO CBN FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1409.99;50.93;28597.62;71.00
GRANDE VITORIA;01/03/2024;RADIO CBN FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2140.72;77.32;48147.80;64.01
GRANDE VITORIA;01/03/2024;RADIO CBN FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;627.95;22.68;12327.05;73.21
GRANDE VITORIA;01/03/2024;RADIO CBN FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;0.00;0.00;0.00;0.00
GRANDE VITORIA;01/03/2024;RADIO CBN FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;0.00;0.00;0.00;0.00
GRANDE VITORIA;01/03/2024;RADIO CBN FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;605.76;21.88;6064.00;143.51
GRANDE VITORIA;01/03/2024;RADIO CBN FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;561.08;20.27;19118.35;42.16
GRANDE VITORIA;01/03/2024;RADIO CBN FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;842.39;30.43;21523.49;56.22
GRANDE VITORIA;01/03/2024;RADIO CBN FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;759.44;27.43;13769.02;79.25
GRANDE VITORIA;01/03/2024;RADIO CBN FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;234.02;8.45;4039.70;83.25
GRANDE VITORIA;01/03/2024;RADIO CBN FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;161.74;5.84;4257.78;54.42
GRANDE VITORIA;01/03/2024;RADIO CBN FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;462.01;16.69;13793.31;48.14
GRANDE VITORIA;01/03/2024;RADIO CBN FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;865.32;31.25;17467.94;71.20
GRANDE VITORIA;01/03/2024;RADIO CBN FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1045.58;37.76;20916.12;71.59
GRANDE VITORIA;01/03/2024;TROPICAL FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;19733.74;100.00;265606.71;106.59
GRANDE VITORIA;01/03/2024;TROPICAL FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;10378.65;52.59;143407.02;104.13
GRANDE VITORIA;01/03/2024;TROPICAL FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;9355.09;47.41;122199.69;110.14
GRANDE VITORIA;01/03/2024;TROPICAL FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;5563.43;28.19;99118.57;80.50
GRANDE VITORIA;01/03/2024;TROPICAL FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;10359.40;52.50;121503.84;122.46
GRANDE VITORIA;01/03/2024;TROPICAL FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3810.91;19.31;44984.30;122.00
GRANDE VITORIA;01/03/2024;TROPICAL FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2346.14;11.89;34335.05;98.24
GRANDE VITORIA;01/03/2024;TROPICAL FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;6103.17;30.93;74377.12;118.10
GRANDE VITORIA;01/03/2024;TROPICAL FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4968.34;25.18;63543.07;112.35
GRANDE VITORIA;01/03/2024;TROPICAL FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2883.83;14.61;46720.74;88.53
GRANDE VITORIA;01/03/2024;TROPICAL FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3432.26;17.39;46630.73;105.59
GRANDE VITORIA;01/03/2024;TROPICAL FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4229.65;21.43;58779.79;103.37
GRANDE VITORIA;01/03/2024;TROPICAL FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;248.81;1.26;5553.41;64.31
GRANDE VITORIA;01/03/2024;TROPICAL FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4191.23;21.24;66631.75;90.35
GRANDE VITORIA;01/03/2024;TROPICAL FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4713.03;23.88;64773.13;104.47
GRANDE VITORIA;01/03/2024;TROPICAL FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;6351.02;32.18;69868.63;130.54
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4715.65;100.00;50044.94;135.41
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1665.85;35.33;20254.92;118.26
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3049.81;64.67;29790.02;147.25
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2494.78;52.90;27679.98;129.47
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1559.08;33.06;16856.12;133.11
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;661.79;14.03;5508.84;172.59
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;365.39;7.75;4797.11;109.41
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;228.52;4.85;7650.48;43.01
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;545.98;11.58;11640.32;67.33
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1857.02;39.38;15882.70;168.22
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1718.74;36.45;10074.34;245.40
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;749.07;15.88;12858.31;83.53
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1029.09;21.82;3699.62;400.33
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;658.44;13.96;10439.64;90.49
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1834.97;38.91;16525.33;159.54
GRANDE VITORIA;01/03/2024;VIVA FM 100.9 FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;444.09;9.42;6522.05;98.03
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2212.50;100.00;33221.86;95.54
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1015.22;45.89;19531.13;74.51
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1197.28;54.11;13690.73;125.56
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;800.53;36.18;21187.98;54.24
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1271.28;57.46;11239.33;162.53
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;140.70;6.36;794.55;255.00
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;36.18;1.64;2334.01;22.19
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;699.88;31.63;7312.02;137.50
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1071.14;48.41;13384.87;115.14
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;91.30;4.13;4196.59;31.20
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;314.01;14.19;5994.36;75.26
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;388.75;17.57;6483.87;86.20
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;0.00;0.00;0.00;0.00
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;90.48;4.09;4077.55;31.57
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;508.95;23.00;4459.64;164.20
GRANDE VITORIA;01/03/2024;JOVEM PAN NEWS VITORIA FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1224.33;55.34;18200.80;96.52
GRANDE VITORIA;01/03/2024;TOTAL WEB;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;10261.06;100.00;124847.62;118.21
GRANDE VITORIA;01/03/2024;TOTAL WEB;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4725.46;46.05;53617.99;126.55
GRANDE VITORIA;01/03/2024;TOTAL WEB;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;5535.61;53.95;71229.63;111.55
GRANDE VITORIA;01/03/2024;TOTAL WEB;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;5340.99;52.05;54140.41;142.03
GRANDE VITORIA;01/03/2024;TOTAL WEB;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4532.98;44.18;58914.44;110.48
GRANDE VITORIA;01/03/2024;TOTAL WEB;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;387.09;3.77;11792.78;47.16
GRANDE VITORIA;01/03/2024;TOTAL WEB;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;350.33;3.41;12827.25;39.20
GRANDE VITORIA;01/03/2024;TOTAL WEB;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1555.29;15.16;21957.78;102.00
GRANDE VITORIA;01/03/2024;TOTAL WEB;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3555.95;34.65;31550.19;162.18
GRANDE VITORIA;01/03/2024;TOTAL WEB;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1865.16;18.18;25441.55;105.34
GRANDE VITORIA;01/03/2024;TOTAL WEB;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2934.33;28.60;33070.85;127.46
GRANDE VITORIA;01/03/2024;TOTAL WEB;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1256.86;12.25;16047.79;112.47
GRANDE VITORIA;01/03/2024;TOTAL WEB;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;494.39;4.82;6789.93;104.51
GRANDE VITORIA;01/03/2024;TOTAL WEB;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1770.66;17.26;31781.33;80.14
GRANDE VITORIA;01/03/2024;TOTAL WEB;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3088.28;30.10;43806.88;101.31
GRANDE VITORIA;01/03/2024;TOTAL WEB;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3650.87;35.58;26421.69;198.59
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;34451.39;100.00;384555.01;129.00
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;18833.10;54.67;202366.81;134.01
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;15618.29;45.33;182188.20;123.27
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;17406.29;50.52;214348.35;116.56
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;13492.04;39.16;138181.57;140.36
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3553.07;10.31;32025.10;159.46
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1604.08;4.66;32291.33;71.32
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4157.98;12.07;59526.64;100.35
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;7595.73;22.05;84322.28;129.43
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;9168.21;26.61;99599.30;132.33
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;11925.39;34.62;108815.46;157.49
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;8484.93;24.63;77034.02;158.37
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2995.68;8.70;33537.42;128.38
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;9315.06;27.04;83229.26;161.10
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;7934.99;23.03;100212.52;114.01
GRANDE VITORIA;01/03/2024;NÃO ASSINANTE FM - 12 RÁDIOS;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;5720.75;16.61;90541.78;90.59
GRANDE VITORIA;01/03/2024;TOTAL FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;64151.06;51.09;476832.09;193.44
GRANDE VITORIA;01/02/2024;RADIO ANTENA 1 FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3166.81;45.77;48968.34;93.08
GRANDE VITORIA;01/02/2024;RADIO ANTENA 1 FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3752.64;54.23;61880.21;87.20
GRANDE VITORIA;01/02/2024;RADIO ANTENA 1 FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3849.51;55.63;65164.39;85.04
GRANDE VITORIA;01/02/2024;TOTAL FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;123050.51;100.00;960875.06;184.24
GRANDE VITORIA;01/02/2024;TOTAL FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;64301.41;52.26;487278.58;190.01
GRANDE VITORIA;01/02/2024;TOTAL FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;58749.09;47.74;473596.48;178.38
GRANDE VITORIA;01/02/2024;TOTAL FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;52692.64;42.82;409863.61;185.08
GRANDE VITORIA;01/02/2024;TOTAL FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;52958.25;43.04;421000.88;181.08
GRANDE VITORIA;01/02/2024;TOTAL FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;17399.62;14.14;130010.56;192.43
GRANDE VITORIA;01/02/2024;TOTAL FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;9141.85;7.43;115335.58;114.08
GRANDE VITORIA;01/02/2024;TOTAL FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;23489.05;19.09;154643.89;218.43
GRANDE VITORIA;01/02/2024;TOTAL FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;26730.07;21.72;208976.56;184.11
GRANDE VITORIA;01/02/2024;TOTAL FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;25235.41;20.51;193260.75;188.02
GRANDE VITORIA;01/02/2024;TOTAL FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;38454.13;31.25;288658.28;191.50
GRANDE VITORIA;01/02/2024;TOTAL FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;29351.84;23.85;221976.78;190.25
GRANDE VITORIA;01/02/2024;TOTAL FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;6015.46;4.89;56795.03;152.31
GRANDE VITORIA;01/02/2024;TOTAL FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;24866.59;20.21;206374.96;173.31
GRANDE VITORIA;01/02/2024;TOTAL FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;31221.70;25.37;267300.86;168.12
GRANDE VITORIA;01/02/2024;TOTAL FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;31594.93;25.68;208427.42;218.17
GRANDE VITORIA;01/02/2024;BAND NEWS FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1415.60;100.00;31896.45;63.55
GRANDE VITORIA;01/02/2024;BAND NEWS FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;249.09;17.60;8812.81;40.42
GRANDE VITORIA;01/02/2024;BAND NEWS FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1166.51;82.40;23083.64;72.46
GRANDE VITORIA;01/02/2024;BAND NEWS FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;752.34;53.15;22540.41;48.04
GRANDE VITORIA;01/02/2024;BAND NEWS FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;652.00;46.06;8274.72;113.28
GRANDE VITORIA;01/02/2024;BAND NEWS FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;11.26;0.80;1081.33;15.00
GRANDE VITORIA;01/02/2024;BAND NEWS FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;0.00;0.00;0.00;0.00
GRANDE VITORIA;01/02/2024;BAND NEWS FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;487.14;34.41;7621.34;92.03
GRANDE VITORIA;01/02/2024;BAND NEWS FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;239.13;16.89;6515.26;52.51
GRANDE VITORIA;01/02/2024;BAND NEWS FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;558.11;39.43;11936.32;67.20
GRANDE VITORIA;01/02/2024;BAND NEWS FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;131.21;9.27;5823.53;32.27
GRANDE VITORIA;01/02/2024;BAND NEWS FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;20.44;1.44;654.16;45.00
GRANDE VITORIA;01/02/2024;BAND NEWS FM;ZONA GUARAPARI;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;133.37;9.42;4961.34;38.43
GRANDE VITORIA;01/02/2024;BAND NEWS FM;ZONA SERRA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;269.99;19.07;6422.55;60.32
GRANDE VITORIA;01/02/2024;BAND NEWS FM;ZONA VILA VELHA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;184.52;13.04;5577.17;47.39
GRANDE VITORIA;01/02/2024;BAND NEWS FM;ZONA VITORIA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;807.28;57.03;14281.24;81.24
GRANDE VITORIA;01/02/2024;FM SUPER FM;SEXO AMBOS;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;9238.32;100.00;136782.04;97.15
GRANDE VITORIA;01/02/2024;FM SUPER FM;SEXO FEMININO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4335.40;46.93;62222.15;100.20
GRANDE VITORIA;01/02/2024;FM SUPER FM;SEXO MASCULINO;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4902.91;53.07;74559.88;94.41
GRANDE VITORIA;01/02/2024;FM SUPER FM;CLASSE AB;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;4170.89;45.15;61998.73;96.52
GRANDE VITORIA;01/02/2024;FM SUPER FM;CLASSE C;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3557.24;38.51;56662.75;90.24
GRANDE VITORIA;01/02/2024;FM SUPER FM;CLASSE DE;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1510.19;16.35;18120.56;120.01
GRANDE VITORIA;01/02/2024;FM SUPER FM;IDADE 10/19;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1534.21;16.61;27262.01;81.02
GRANDE VITORIA;01/02/2024;FM SUPER FM;IDADE 20/29;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1987.34;21.51;24086.22;118.49
GRANDE VITORIA;01/02/2024;FM SUPER FM;IDADE 30/39;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1869.67;20.24;33674.17;79.57
GRANDE VITORIA;01/02/2024;FM SUPER FM;IDADE 40/49;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;1043.26;11.29;22986.08;65.21
GRANDE VITORIA;01/02/2024;FM SUPER FM;IDADE 50+;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;2803.83;30.35;28773.55;140.19
GRANDE VITORIA;01/02/2024;FM SUPER FM;ZONA CARIACICA + VIANA;DAS 05:00 AS 05:00 BL.1H;TODOS OS DIAS;3759.58;40.70;45542.70;118.52
