periodo;Real;Previsto
01/07/2024;8631.96;10616.14
01/08/2024;11143.67;10557.66
01/09/2024;9759.4;11245.67
01/10/2024;8567.24;9790.32
01/11/2024;8335.98;8863.68
01/12/2024;10066.76;9732.5
01/01/2025;10210.18;10937.68
01/02/2025;9609.47;10610.33
01/03/2025;11824.19;11467.58
01/04/2025;6732.53;9699.04
01/05/2025;8018.94;8226.84
01/06/2025;8340.12;8546.31
01/07/2025;7605.57;10595.67
01/08/2025;10623.28;10408.36
01/09/2025;10224.25;10684.71
